// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\CSharp\Bootcamp\EF\WorkingWithEFCore\EFCore\bin\Release\net7.0\d69bb1e9-dd68-4462-8eca-c07b6044eab3
// command took 1.17 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\CSharp\Bootcamp\EF\WorkingWithEFCore\EFCore\bin\Release\net7.0\d69bb1e9-dd68-4462-8eca-c07b6044eab3
// command took 2.32 sec and exited with 0
// ***** Done, took 00:00:03 (3.56 sec)   *****
// Found 2 benchmarks:
//   MyDatabaseBenchmark.IncludeFirst: DefaultJob
//   MyDatabaseBenchmark.WhereFirst: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyDatabaseBenchmark.IncludeFirst: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet d69bb1e9-dd68-4462-8eca-c07b6044eab3.dll --anonymousPipes 1392 1376 --benchmarkName EFCore.MyDatabaseBenchmark.IncludeFirst --job Default --benchmarkId 0 in C:\CSharp\Bootcamp\EF\WorkingWithEFCore\EFCore\bin\Release\net7.0\d69bb1e9-dd68-4462-8eca-c07b6044eab3\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 7.0.9 (7.0.923.32018), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 313700.00 ns, 313.7000 us/op
WorkloadJitting  1: 1 op, 1377553400.00 ns, 1.3776 s/op

OverheadJitting  2: 1 op, 400.00 ns, 400.0000 ns/op
WorkloadJitting  2: 1 op, 15874900.00 ns, 15.8749 ms/op

OverheadJitting  3: 16 op, 184200.00 ns, 11.5125 us/op
WorkloadJitting  3: 16 op, 46114000.00 ns, 2.8821 ms/op

WorkloadPilot    1: 16 op, 3419000.00 ns, 213.6875 us/op
WorkloadPilot    2: 32 op, 6388800.00 ns, 199.6500 us/op
WorkloadPilot    3: 64 op, 15824000.00 ns, 247.2500 us/op
WorkloadPilot    4: 128 op, 27506800.00 ns, 214.8969 us/op
WorkloadPilot    5: 256 op, 47772600.00 ns, 186.6117 us/op
WorkloadPilot    6: 512 op, 104600500.00 ns, 204.2979 us/op
WorkloadPilot    7: 1024 op, 145531800.00 ns, 142.1209 us/op
WorkloadPilot    8: 2048 op, 205631700.00 ns, 100.4061 us/op
WorkloadPilot    9: 4096 op, 296433800.00 ns, 72.3715 us/op
WorkloadPilot   10: 8192 op, 549400900.00 ns, 67.0655 us/op

OverheadWarmup   1: 8192 op, 17400.00 ns, 2.1240 ns/op
OverheadWarmup   2: 8192 op, 16000.00 ns, 1.9531 ns/op
OverheadWarmup   3: 8192 op, 16100.00 ns, 1.9653 ns/op
OverheadWarmup   4: 8192 op, 16300.00 ns, 1.9897 ns/op
OverheadWarmup   5: 8192 op, 16600.00 ns, 2.0264 ns/op
OverheadWarmup   6: 8192 op, 16600.00 ns, 2.0264 ns/op
OverheadWarmup   7: 8192 op, 16100.00 ns, 1.9653 ns/op
OverheadWarmup   8: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadWarmup   9: 8192 op, 17400.00 ns, 2.1240 ns/op

OverheadActual   1: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadActual   2: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadActual   3: 8192 op, 19500.00 ns, 2.3804 ns/op
OverheadActual   4: 8192 op, 15000.00 ns, 1.8311 ns/op
OverheadActual   5: 8192 op, 15900.00 ns, 1.9409 ns/op
OverheadActual   6: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual   7: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual   8: 8192 op, 17600.00 ns, 2.1484 ns/op
OverheadActual   9: 8192 op, 16400.00 ns, 2.0020 ns/op
OverheadActual  10: 8192 op, 16700.00 ns, 2.0386 ns/op
OverheadActual  11: 8192 op, 16100.00 ns, 1.9653 ns/op
OverheadActual  12: 8192 op, 16100.00 ns, 1.9653 ns/op
OverheadActual  13: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadActual  14: 8192 op, 15900.00 ns, 1.9409 ns/op
OverheadActual  15: 8192 op, 15900.00 ns, 1.9409 ns/op

WorkloadWarmup   1: 8192 op, 556424000.00 ns, 67.9229 us/op
WorkloadWarmup   2: 8192 op, 550186300.00 ns, 67.1614 us/op
WorkloadWarmup   3: 8192 op, 550271400.00 ns, 67.1718 us/op
WorkloadWarmup   4: 8192 op, 535640200.00 ns, 65.3858 us/op
WorkloadWarmup   5: 8192 op, 531001400.00 ns, 64.8195 us/op
WorkloadWarmup   6: 8192 op, 525801100.00 ns, 64.1847 us/op
WorkloadWarmup   7: 8192 op, 526240400.00 ns, 64.2383 us/op
WorkloadWarmup   8: 8192 op, 528679600.00 ns, 64.5361 us/op
